asset_name,category,tier,purpose,material_family,filename,snap_grid_m
WK_ARCH_BAY_VAULT_A_01,01_ARCHITECTURE,FOUNDATION,"Primary structural bay: board-formed concrete shell with two segmental arch ribs, springing corbels and a coffered crown. Everything in the world is built from this piece.",MK_CONCRETE_STRUCT|MK_CERAMIC_TILE|MK_STEEL_PRIMER,architecture/WK_ARCH_BAY_VAULT_A_01.glb,4.0
WK_ARCH_BAY_FLAT_A_01,01_ARCHITECTURE,FOUNDATION,Open-plan bay with a flat slab soffit and exposed beam grid. Used for working floors where the vault would block crane access.,MK_CONCRETE_STRUCT|MK_STEEL_PRIMER|MK_STEEL_AGED,architecture/WK_ARCH_BAY_FLAT_A_01.glb,4.0
WK_ARCH_BAY_OCULUS_A_01,01_ARCHITECTURE,VARIATION,"Vault bay with a 2.4 m square roof opening and a raised steel curb, so tall equipment and daylight can pass between levels.",MK_CONCRETE_STRUCT|MK_STEEL_AGED|MK_STEEL_PRIMER,architecture/WK_ARCH_BAY_OCULUS_A_01.glb,4.0
WK_ARCH_COLUMN_A_01,01_ARCHITECTURE,FOUNDATION,Octagonal cast column with a splayed base and a corbelled capital. Carries every arch in the station.,MK_CONCRETE_STRUCT|MK_STEEL_PRIMER,architecture/WK_ARCH_COLUMN_A_01.glb,1.0
WK_WALL_STANDARD_A_01,02_WALLS,FOUNDATION,"4.0 m straight wall, 3.6 m high, 0.4 m thick, board-formed face with a tile dado and a concrete cap.",MK_CONCRETE_STRUCT|MK_CERAMIC_TILE,walls/WK_WALL_STANDARD_A_01.glb,4.0
WK_WALL_STANDARD_B_01,02_WALLS,VARIATION,Same wall with a recessed service panel and conduit chase. Breaks the rhythm of STANDARD_A without changing a single dimension.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE|MK_STEEL_AGED|MK_STEEL_PRIMER,walls/WK_WALL_STANDARD_B_01.glb,4.0
WK_WALL_CORNER_INNER_A_01,02_WALLS,FOUNDATION,Inside 90 degree corner. Two wall faces meet on the 4.0 m grid with shared thickness so both return flush.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE,walls/WK_WALL_CORNER_INNER_A_01.glb,4.0
WK_WALL_CORNER_OUTER_A_01,02_WALLS,FOUNDATION,Outside 90 degree corner with a quoin block at the arris. Completes the enclosure grammar together with CORNER_INNER.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE,walls/WK_WALL_CORNER_OUTER_A_01.glb,4.0
WK_WALL_DOORWAY_A_01,02_WALLS,FOUNDATION,Wall module carrying the standard 1.2 x 2.4 m opening with a cast surround. Pairs with WK_DOOR_FRAME_A_01 / WK_DOOR_LEAF_A_01.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE|MK_STEEL_PRIMER,walls/WK_WALL_DOORWAY_A_01.glb,4.0
WK_WALL_WINDOW_A_01,02_WALLS,FOUNDATION,Wall module with a segmental arched opening at the standard sill. The only route daylight takes into the station.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE|MK_STEEL_PRIMER,walls/WK_WALL_WINDOW_A_01.glb,4.0
WK_WALL_BREACH_A_01,02_WALLS,VARIATION,"Storm-breached wall: spalled arris, exposed rebar stubs and a rubble apron. The kit's damaged state, and the reason saltbush exists.",MK_CONCRETE_STRUCT|MK_STEEL_AGED|MK_CERAMIC_TILE,walls/WK_WALL_BREACH_A_01.glb,4.0
WK_FLOOR_SLAB_A_01,03_FLOORS,FOUNDATION,"Primary 4.0 m floor slab, 0.3 m thick, with a tile inlay field and a kerbed edge. The ground plane of the whole kit.",MK_CONCRETE_STRUCT|MK_CERAMIC_TILE,floors/WK_FLOOR_SLAB_A_01.glb,4.0
WK_FLOOR_SLAB_B_01,03_FLOORS,FOUNDATION,Steel grating deck on a bearers-and-bolts frame. Lets the brine glow through and defines the working platforms.,MK_STEEL_AGED|MK_STEEL_PRIMER,floors/WK_FLOOR_SLAB_B_01.glb,4.0
WK_FLOOR_TRANSITION_A_01,03_FLOORS,VARIATION,Slab-to-grating transition with a bolted nosing plate. Makes mixed floors read as deliberate rather than accidental.,MK_CONCRETE_STRUCT|MK_CERAMIC_TILE|MK_STEEL_AGED,floors/WK_FLOOR_TRANSITION_A_01.glb,4.0
WK_FLOOR_CHANNEL_A_01,03_FLOORS,VARIATION,"Slab with a 0.6 m brine channel and a removable grate run down its centre line. Carries water, cyan light and sightlines.",MK_CONCRETE_STRUCT|MK_STEEL_AGED|MK_WATER_BRINE,floors/WK_FLOOR_CHANNEL_A_01.glb,4.0
WK_DOOR_FRAME_A_01,04_DOORS_WINDOWS,FOUNDATION,"Riveted steel frame and head for the 1.2 x 2.4 m opening, with a threshold plate and hinge gudgeons.",MK_STEEL_PRIMER|MK_STEEL_AGED|MK_BRASS,doors_windows/WK_DOOR_FRAME_A_01.glb,0.1
WK_DOOR_LEAF_A_01,04_DOORS_WINDOWS,FOUNDATION,"Timber-faced steel leaf with a brass porthole and a lever latch. Pivots on its hinge edge, so it can be posed open or ajar.",MK_STEEL_PAINTED|MK_TIMBER|MK_BRASS|MK_GLASS,doors_windows/WK_DOOR_LEAF_A_01.glb,0.1
WK_WINDOW_ARCH_A_01,04_DOORS_WINDOWS,FOUNDATION,"Segmental arched glazing unit: steel mullions, wired glass, salt-etched lower pane and a sloped sill that sheds spray.",MK_STEEL_AGED|MK_GLASS|MK_STEEL_PRIMER,doors_windows/WK_WINDOW_ARCH_A_01.glb,0.1
WK_STRUCT_BEAM_A_01,05_STRUCTURAL,FOUNDATION,"4.0 m riveted I-beam with end gussets. Spans a bay, carries catwalks and defines the horizontal rhythm.",MK_STEEL_PRIMER|MK_STEEL_AGED,structural/WK_STRUCT_BEAM_A_01.glb,4.0
WK_STRUCT_CATWALK_A_01,05_STRUCTURAL,FOUNDATION,"4.0 m grating catwalk, 1.2 m wide, with rails both sides and a kickplate. The main circulation module above floor level.",MK_STEEL_AGED|MK_STEEL_PRIMER|MK_STEEL_PAINTED,structural/WK_STRUCT_CATWALK_A_01.glb,4.0
WK_STRUCT_PLATFORM_A_01,05_STRUCTURAL,FOUNDATION,4.0 x 4.0 m mezzanine deck with edge kerbs and bearer pockets. The upper working floor.,MK_STEEL_AGED|MK_STEEL_PRIMER,structural/WK_STRUCT_PLATFORM_A_01.glb,4.0
WK_STRUCT_RAILING_A_01,05_STRUCTURAL,VARIATION,"2.0 m rail segment: two horizontals, a 0.15 m kickplate and chamfered post caps. Fits every deck edge.",MK_STEEL_PAINTED|MK_STEEL_AGED,structural/WK_STRUCT_RAILING_A_01.glb,1.0
WK_STRUCT_STAIR_SPIRAL_A_01,05_STRUCTURAL,FOUNDATION,"Helical stair, one full 3.6 m storey in 20 risers, inside a 4.0 m shaft. The kit's only vertical circulation that fits a single bay.",MK_STEEL_AGED|MK_STEEL_PRIMER|MK_STEEL_PAINTED|MK_TIMBER,structural/WK_STRUCT_STAIR_SPIRAL_A_01.glb,4.0
WK_STRUCT_PIPE_RUN_A_01,05_STRUCTURAL,VARIATION,"4.0 m brine pipe run: 0.22 m ceramic-lined pipe, two collars and wall brackets. Runs along walls and under catwalks.",MK_STEEL_PAINTED|MK_BRASS|MK_STEEL_AGED,structural/WK_STRUCT_PIPE_RUN_A_01.glb,4.0
WK_FURN_BENCH_A_01,06_FURNITURE,DETAIL,"Salt-stained work bench: cast legs, timber top, a lower slat shelf and a brass vise mount. The only furniture the station ever had.",MK_CONCRETE_STRUCT|MK_TIMBER|MK_STEEL_AGED|MK_BRASS,furniture/WK_FURN_BENCH_A_01.glb,1.0
